no_plate,color,company_name,model_year,vehicle_type,date_stolen,district_name,No_Police_Areas,month,vehicle_age
BNT300,GREY,HOLDEN,2003,UTILITY TRUCK,2023-11-13,Waikato,3,November,21
U879E,WHITE,HOMEBUILT,2012,TRAILER,2023-11-13,Waikato,3,November,12
LNW23,BLACK,MAZDA,2008,CAR,2023-11-14,Waikato,3,November,16
DTB996,BLACK,KIA,2007,CAR,2023-11-14,Waikato,3,November,17
9M363,SILVER,HOMEBUILT,2018,TRAILER,2023-11-15,Waikato,3,November,6
FCU345,WHITE,TOYOTA,1997,CAR,2023-11-15,Waikato,3,November,27
FTM274,BLACK,NISSAN,2011,UTILITY TRUCK,2023-11-15,Waikato,3,November,13
PJ500,WHITE,TOYOTA,1978,CAMPER,2023-11-16,Waikato,3,November,46
YW8957,GREY,NISSAN,1990,CAR,2023-11-16,Waikato,3,November,34
Y50K,SILVER,FACTORY BUILT,2007,TRAILER,2023-11-17,Waikato,3,November,17
C9MSM,RED,FACTORY BUILT,2015,MOTORCYCLE,2023-11-17,Waikato,3,November,9
DHQ757,SILVER,FORD,2006,CAR,2023-11-17,Waikato,3,November,18
PNL161,BLACK,HONDA,2008,CAR,2023-11-17,Waikato,3,November,16
UU8593,BLACK,TOYOTA,1990,CAR,2023-11-18,Waikato,3,November,34
SE4000,WHITE,TOYOTA,1993,CAR,2023-11-19,Waikato,3,November,31
DKQ538,SILVER,MAZDA,2006,UTILITY TRUCK,2023-11-19,Waikato,3,November,18
PKN640,GREY,SUBARU,2010,CAR,2023-11-19,Waikato,3,November,14
FUM340,RED,KIA,2011,CAR,2023-11-19,Waikato,3,November,13
CYH893,BLUE,HOLDEN,2005,CAR,2023-11-19,Waikato,3,November,19
EGC152,WHITE,FORD,2007,UTILITY TRUCK,2023-11-19,Waikato,3,November,17
GFC473,BLACK,MAZDA,2005,CAR,2023-11-19,Waikato,3,November,19
8P953,BLACK,HOMEBUILT,2018,TRAILER,2023-11-20,Waikato,3,November,6
KYF177,BLACK,TOYOTA,2007,CAR,2023-11-20,Waikato,3,November,17
GHZ843,WHITE,NISSAN,2012,UTILITY TRUCK,2023-11-20,Waikato,3,November,12
LCA112,SILVER,FORD,2017,UTILITY TRUCK,2023-11-21,Waikato,3,November,7
PQS369,SILVER,DODGE,2011,CAR,2023-11-21,Waikato,3,November,13
NWK599,WHITE,NISSAN,2006,CAR,2023-11-21,Waikato,3,November,18
HSK582,GREY,HONDA,2006,CAR,2023-11-21,Waikato,3,November,18
FWS260,RED,TOYOTA,2001,UTILITY TRUCK,2023-11-23,Waikato,3,November,23
DJC883,RED,TOYOTA,2002,CAR,2023-11-23,Waikato,3,November,22
KRS281,SILVER,HOLDEN,2010,CAR,2023-11-23,Waikato,3,November,14
NHP243,GREY,TOYOTA,2009,CAR,2023-11-23,Waikato,3,November,15
6491K,WHITE,OXFORD,1971,CAMPER,2023-11-24,Waikato,3,November,53
33ZWG,SILVER,HYOSUNG,2008,MOTORCYCLE,2023-11-24,Waikato,3,November,16
WB5233,SILVER,FORD,1997,UTILITY TRUCK,2023-11-24,Waikato,3,November,27
80T94,GREY,HOMEBUILT,2020,TRAILER,2023-11-24,Waikato,3,November,4
37QWN,RED,HOMEBUILT,1973,TRAILER,2023-11-25,Waikato,3,November,51
MZU457,SILVER,TOYOTA,2014,CAR,2023-11-26,Waikato,3,November,10
JWE179,WHITE,MITSUBISHI,2016,UTILITY TRUCK,2023-11-26,Waikato,3,November,8
VDD07,RED,ALFA ROMEO,2007,CAR,2023-11-27,Waikato,3,November,17
B8DRA,GREY,SUZUKI,2002,MOTORCYCLE,2023-11-27,Waikato,3,November,22
BTK752,WHITE,TOYOTA,1997,CAR,2023-11-27,Waikato,3,November,27
